39,57359427,,,,,
22,17871667,,,,,,
22,18624011,,,,,,
22,21212239,,,,,,
22,16224479,,,,,,
22,13824792,,,,,,
22,17871771,,,,,,
22,17316354,,,,,,
22,18312292,,,,,,
22,18041771,,,,,,
22,18179583,,,,,,
22,19077500,,,,,,
22,16618125,,,,,,
22,16783750,,,,,,
22,17042864,,,,,,
22,18043229,,,,,,
22,20244427,,,,,,
22,18141302,,,,,,
22,18027031,,,,,,
22,18493437,,,,,,
22,17295000,,,,,,
22,17423489,,,,,,
22,16107500,,,,,,
22,14828438,,,,,,
22,15967291,,,,,,
22,19771250,,,,,,
22,16883177,,,,,,
22,17538385,,,,,,
22,17204792,,,,,,
22,18878750,,,,,,
22,18446875,,,,,,
22,17959062,,,,,,
22,15963282,,,,,,
22,16006042,,,,,,
22,18714635,,,,,,
22,18827135,,,,,,
22,17249167,,,,,,
22,16436927,,,,,,
22,18222344,,,,,,
22,17820365,,,,,,
22,17126354,,,,,,
22,16936354,,,,,,
22,18091094,,,,,,
22,21726302,,,,,,
22,18421459,,,,,,
22,17521459,,,,,,
22,17585885,,,,,,
22,19712916,,,,,,
22,19080209,,,,,,
22,19175625,,,,,,
22,17966875,,,,,,
22,19882760,,,,,,
22,17605781,,,,,,
22,16429635,,,,,,
22,16515521,,,,,,
22,16619427,,,,,,
22,18705677,,,,,,
22,17775677,,,,,,
22,17992865,,,,,,
22,17993125,,,,,,
22,16026614,,,,,,
22,15987084,,,,,,
22,17252083,,,,,,
22,17139167,,,,,,
22,17765417,,,,,,
22,17015729,,,,,,
22,18255625,,,,,,
22,17349948,,,,,,
22,17038385,,,,,,
22,17408854,,,,,,
22,14592239,,,,,,
22,15523906,,,,,,
22,18549584,,,,,,
22,17822917,,,,,,
22,17178489,,,,,,
22,15874479,,,,,,
22,14820261,,,,,,
22,14429219,,,,,,
22,18084844,,,,,,
26,20475364,,,,,,
26,20028489,,,,,,
26,20411875,,,,,,
26,19282500,,,,,,
26,18751510,,,,,,
26,19219167,,,,,,
26,15444115,,,,,,
26,17640261,,,,,,
26,18540937,,,,,,
26,19266771,,,,,,
26,16748490,,,,,,
26,16816875,,,,,,
26,17827448,,,,,,
26,16489167,,,,,,
26,19289896,,,,,,
26,20353907,,,,,,
26,20502604,,,,,,
26,17678646,,,,,,
22,18784844,,,,,,
26,17660052,,,,,,
26,18012605,,,,,,
26,18650677,,,,,,
22,13920990,,,,,,
22,18266198,,,,,,
22,20068594,,,,,,
22,20589167,,,,,,
26,18611719,,,,,,
26,17117344,,,,,,
22,23121407,,,,,,
26,18525833,,,,,,
22,19311302,,,,,,
22,19358645,,,,,,
26,17653958,,,,,,
22,23100260,,,,,,
26,23870729,,,,,,
26,20570573,,,,,,
26,20149896,,,,,,
26,20810313,,,,,,
22,17019427,,,,,,
22,18727656,,,,,,
26,17112864,,,,,,
26,18582032,,,,,,
22,19848542,,,,,,
26,17684271,,,,,,
26,15820104,,,,,,
22,21067656,,,,,,
26,16288073,,,,,,
26,17491563,,,,,,
26,18693438,,,,,,
26,20475156,,,,,,
26,17025156,,,,,,
26,17194115,,,,,,
26,17304479,,,,,,
26,19271667,,,,,,
26,17590573,,,,,,
26,19791406,,,,,,
26,15511875,,,,,,
26,16233541,,,,,,
26,17410625,,,,,,
26,19042917,,,,,,
26,19954844,,,,,,
26,16756667,,,,,,
26,17228593,,,,,,
26,20399844,,,,,,
26,16988698,,,,,,
22,19790261,,,,,,
26,18854219,,,,,,
26,18471198,,,,,,
26,20130521,,,,,,
26,18964219,,,,,,
26,19878333,,,,,,
26,17599792,,,,,,
26,18210208,,,,,,
26,17269375,,,,,,
26,17283073,,,,,,
26,21123802,,,,,,
26,17989427,,,,,,
26,16114896,,,,,,
26,19318489,,,,,,
26,17895208,,,,,,
26,19539010,,,,,,
26,19084479,,,,,,
26,18869843,,,,,,
26,18907031,,,,,,
26,18767240,,,,,,
26,18901354,,,,,,
26,20264584,,,,,,
26,18502136,,,,,,
26,20056354,,,,,,
26,19218177,,,,,,
26,19977291,,,,,,
26,17409740,,,,,,
26,20471563,,,,,,
26,20012500,,,,,,
26,18058802,,,,,,
26,18537552,,,,,,
26,17371302,,,,,,
26,17842291,,,,,,
26,17820209,,,,,,
26,17414635,,,,,,
26,19158646,,,,,,
26,20445365,,,,,,
26,20364480,,,,,,
26,18160833,,,,,,
26,20521510,,,,,,
26,17498646,,,,,,
26,20267552,,,,,,
26,16693698,,,,,,
26,22110417,,,,,,
26,16806823,,,,,,
26,20945833,,,,,,
26,19687968,,,,,,
26,18544375,,,,,,
26,16403698,,,,,,
26,20780105,,,,,,
26,18864844,,,,,,
26,17903437,,,,,,
26,19313906,,,,,,
26,22572760,,,,,,
26,16042031,,,,,,
26,20027083,,,,,,
26,17663855,,,,,,
26,19515364,,,,,,
26,16947240,,,,,,
26,17859114,,,,,,
26,15238073,,,,,,
26,15120000,,,,,,
26,14059323,,,,,,
26,16823385,,,,,,
26,17998385,,,,,,
26,17387656,,,,,,
26,15935208,,,,,,
26,18101093,,,,,,
26,19972969,,,,,,
26,21482031,,,,,,
26,16881458,,,,,,
26,19643646,,,,,,
26,16739688,,,,,,
26,16189948,,,,,,
26,17416614,,,,,,
26,15387657,,,,,,
26,15490624,,,,,,
26,19048698,,,,,,
26,17938854,,,,,,
26,20864480,,,,,,
26,17031198,,,,,,
